,Unnamed: 0,字段,标题
601,,09:30,国债期货开盘，10年期主力合约跌0.05%，5年期主力合约跌0.08%，2年期主力合约跌0.01%。
600,,09:30,中国7月工业生产者出厂价格（PPI）同比上涨9%，预估为8.8%，前值为8.8%。
599,,09:30,中国7月居民消费价格同比增长1%， 预期增长0.8%，前值增长1.1%。
598,,09:31,【氢燃料电池概念股继续走高】美锦能源3连板，全柴动力、厚普股份、中泰股份、雪人股份、富瑞特装、雄韬股份等继续冲高。
597,,09:31,国家统计局：7月份CPI同比涨幅回落，猪肉价格下降43.5%，降幅比6月扩大7.0个百分点；受原油、煤炭及相关产品价格大幅上涨影响，工业品价格涨幅略有扩大。
596,,09:32,国家统计局城市司高级统计师董莉娟解读2021年7月份CPI和PPI数据：7月份，各地区各部门统筹做好疫情防控、防汛救灾和经济社会发展工作，积极落实保供稳价政策，市场供需总体平稳。从环比看，CPI由上月下降0.4%转为上涨0.3%。
594,,09:33,【半导体芯片板块开盘走低】芯朋微跌超11%，国科微、南大光电、斯达半导、士兰微、上海贝岭、北方华创等跌超5%。
595,,09:33,国家统计局：据对全国流通领域9大类50种重要生产资料市场价格的监测显示，2021年7月下旬与7月中旬相比，31种产品价格上涨，18种下降，1种持平。
592,,09:34,恒生科技指数跌幅扩大至2％，成分股普跌，华虹半导体跌超5％，阿里巴巴跌4％。
593,,09:34,SOHO中国股价涨10％，黑石收购事宜获市场监管总局立案审查。
591,,09:35,北向资金净流入达10亿元。
590,,09:35,【锂电池板块开盘走低】江特电机触及跌停，星源材质、西藏矿业、沧州明珠、科达制造、藏格控股、天齐锂业等跌超5%。
589,,09:37,锂电、芯片等赛道股集体重挫，江特电机触及跌停，天齐锂业跌近6%；芯片股北方华创、士兰微均跌近5%。
588,,09:37,菲律宾央行行长：下调存款准备金率不在8月12日的货币政策议程上。
587,,09:37,富时中国A50指数期货翻红。
586,,09:37,铁矿石主力合约走低，日内跌幅4.04%，现报856.0元/吨。
585,,09:38,铁矿石期货主力合约跌幅扩大至超4%。
584,,09:38,港股恒大概念股走低。恒腾网络跌超5%，恒大汽车跌4.4%，中国恒大跌0.38%。
583,,09:38,【生猪概念股早盘走高】傲农生物率先涨停，巨星农牧、牧原股份、新希望、大北农、温氏股份等涨超3%。
582,,09:41,新加坡铁矿石指数期货主力合约下跌5.19%，至每吨159.15美元，为5月27日以来最低。
581,,09:42,恒生指数翻红，此前一度跌近1%。
580,,09:42,快手止跌反弹，现涨超2%，报86.7港元，上周累跌近23%。
579,,09:43,【券商股早盘冲高】东方证券拉升触板，广发证券、华鑫股份、兴业证券、财达证券等涨超3%。
577,,09:44,菲律宾央行行长：预计2021年的GDP增速将在6%左右。
578,,09:44,SOHO中国跳水，现跌超2%，此前一度涨逾10%。
576,,09:45,富时中国A50指数期货涨幅扩大至超1%。
575,,09:46,白酒概念持续拉升，皇台酒业涨超8%，岩石股份、舍得酒业、老白干酒跟涨。
574,,09:50,【猪肉概念股早盘走强 傲农生物涨停】猪肉概念股早盘走强，截至发稿，傲农生物涨停， 牧原股份、天邦股份等涨逾5%。消息面上，多家上市猪企公布7月销售数据，牧原股份7月商品猪销售均价环比上涨10.75%。
573,,09:53,【锂电池股持续下挫 宁德时代跌逾6%】锂电股早盘持续下挫，星源材质大跌12%，中科电气跌逾11%，江特电机跌停，川能动力、科大制造、天齐锂业、天华超净、龙蟠科技、天际股份等个股均跌超8%，板块龙头宁德时代大跌6%。昨日中信证券发文表示，本周二盐湖股份重新上市，新能源板块内部存在较大分流压力。
572,,09:55,【美国北达科他州农产品歉收：美国春小麦价格上涨一倍】美国北达科他州农业部长古林近日介绍说，由于大面积的干旱天气，北达科他州农田严重歉收，今年整体农作物产量将会大幅下降，只有往年的40%左右。产量减少直接导致市场上农产品价格上涨。明尼苏达州的农作物交易期货价格显示，尽管今年的小麦及其他农作物收获季尚未结束，但目前每蒲式耳春小麦的价格已经从去年的4到5美元，上涨到了8到9美元左右，约合人民币52到58元，涨幅达到一倍。 (央视财经)
571,,09:56,食品饮料板块早盘拉升，味知香封涨停，仲景食品涨超12%，嘉必优、盐津铺子、桃李面包等跟随冲高。
570,,09:59,【7月中国中小企业发展指数略降 交通运输等四行业上升】中国中小企业协会今天公布，2021年7月中国中小企业发展指数（SMEDI）为87.0，比上月下降0.2点，高于去年同期、但低于2019年同期水平，连续4个月回落，恢复速度继续放缓。分行业指数显示4升1平3降。交通运输邮政仓储业、批发零售业、社会服务业、信息传输计算机软件业指数分别比上月上升0.4、0.3、0.3和0.4点，住宿餐饮业指数持平，工业、建筑业和房地产业指数分别比上月下降0.5、0.6和0.5点，8个分行业指数均处于景气临界值100以下。
569,,09:59,【创业板指跌幅扩大至2%】创业板指跌幅扩大至2%，上证指数跌0.03%，深证成指跌0.67%。
568,,10:00,【开盘半小时 沪深两市成交额达4105亿元】开盘半小时，沪深两市成交额达4108亿元。
567,,10:04,港股内房股走强。绿城中国涨5.6%，万科企业涨5%，新城发展控股涨4.7%，融创中国、碧桂园、中国恒大涨超3%。
566,,10:04,据日本NHK电视台报道，因今年第9号台风“卢碧”过境，日本广岛县、岛根县和爱媛县的30.02万居民被要求疏散。
565,,10:05,【铁矿石期货跌超5%】 国内铁矿石期货主力合约跌超5%，报845元/吨，创3月26日以来新低。
564,,10:05,【内蒙古自治区：二套房公积金贷款利率按同期首套1.1倍执行】据内蒙古自治区住房资金中心8月9日消息，为坚决贯彻“房住不炒”的定位，重点支持缴存职工购买首套住房的刚性需求，中心将对购买家庭第二套住房的缴存职工，在办理住房公积金贷款时，贷款利率按照同期住房公积金个人住房贷款利率的1.1倍执行。（证券时报）
563,,10:06,菲律宾修正第一季度GDP增速，从同比下降4.2%上调至同比下降3.9%。
561,,10:07,【东京奥运刚落幕，菅义伟内阁支持率跌破3成创新低】 在日本东京奥运会闭幕后公布的首个民调显示，日本首相菅义伟内阁的支持率滑落到28%，这是他自2020年9月上任以来支持率首次低于30%。（中新网）
562,,10:07,【湖北已排查出密切接触者2719人 已全部实行集中隔离医学观察】据湖北省疫情防控指挥部8月9日召开的新闻发布会介绍，目前湖北全省对已经查找出的密接和次密接全部实行隔离管控，截至8月8日，通过流行病学调查，排查出中建三局武汉沌口项目工地感染者的密切接触者2719人，已经全部实行集中隔离医学观察。对机场（境外航班）、定点医院、隔离场所等涉新冠肺炎的人、物、地等严格落实闭环管理措施，堵住一切可能导致疫情反弹的漏洞，做到防控不松懈、疫情不反弹、发展不停步。（央视新闻）
560,,10:08,【浙江杭钢国贸有限公司拟进行混合所有制改革】从杭州钢铁集团招投标平台获悉，浙江杭钢国贸有限公司（简称“杭钢国贸”）拟进行混合所有制改革。杭钢国贸成立于2000年，注册资本金40000万元，为集团公司全资子公司，主要从事贸易业务，下属4家全资子公司分别为宁波杭钢国贸有限公司、上海杭钢古剑电子商务有限公司、宁波古剑国际贸易有限公司以及浙江新世纪金属材料现货市场开发有限公司；下属1家控股子公司为浙江菲达供应链有限公司（持股60%）；下属1家参股公司，为浙江杭钢物流有限公司（持股8.33%）。
559,,10:11,美团涨幅扩大至5%，报225港元。
556,,10:12,【佛山拟出台新政策支持汽车消费】近日，佛山市商务局发布《佛山市2021年-2022年支持汽车销售企业扩大销售规模及促进新能源汽车消费工作方案（征求意见稿）》，拟对汽车销售企业扩大汽车销售规模进行奖励，最高奖励100万元；对消费者购买新能源汽车进行补助，最高补助2万元。（佛山日报）
558,,10:12,【湖北鄂州共发现4例无症状感染者 均与江苏淮安某旅行团确诊病例相关联】据湖北省疫情防控指挥部8月9日召开的新闻发布会介绍，截至2021年8月8日24时，鄂州市共发现4例无症状感染者，其中3例系中建三局武汉市沌口项目工地务工人员，1例系3人的共同密切接触者，于8月1日一同乘车回鄂州华容。4人均为隔离、管控、流调中主动排查发现。根据流行病学调查、全基因组测序及变异位点分析的结果，上述病例与江苏淮安某旅行团确诊病例相关联，呈现唯一传播源、单一传播链特点。（央视新闻）
557,,10:12,【沪深两市成交额突破5000亿元】截至目前，沪深两市成交额突破5000亿元，其中沪市成交额2137亿元，深市成交额2868亿元。
555,,10:14,燃料电池股盘中跳水，全柴动力、美锦能源等多股打开涨停，厚普股份自日内高点回落超10%。
554,,10:17,【银行股集体反弹 平安银行均大涨6%】杭州银行、平安银行均大涨6%，宁波银行涨超5%，兴业银行、招商银行、南京银行、江苏银行等个股均走高。
553,,10:18,半导体芯片股持续走低，立昂微跌停，国科微、芯源微、芯原股份跌超10%，斯达半岛、至纯科技、北方华创逾9%。
552,,10:22,恒生科技指数转涨，此前一度跌超2%；成分股中，快手涨超5%，美团涨4.8%，网易涨4.5%，腾讯控股涨1%。
551,,10:23,中国10年期国债买价收益率上涨2.9个基点，报2.845%。
550,,10:24,地产股强势反弹，保利地产涨超7%，万科A涨超6%，融创中国涨近6%，新城发展、绿城中国等多股涨超5%。
549,,10:27,中国银行间市场隔夜质押式回购加权平均利率DR001早盘大涨31基点，报2.1919%，并与DR007形成倒挂。
548,,10:30,食品饮料板块全线反弹，三只松鼠、盐津铺子、未知香先后涨停，双汇发展涨超5%，金字火腿、金龙鱼、良品铺子等纷纷跟涨。
547,,10:31,北向资金净流入达20亿元。
546,,10:32,【河南开封昨日新增1例确诊病例，与郑州市第六人民医院相关联】 据开封发布，2021年8月8日，开封市新增1例新冠肺炎确诊病例，是涉郑州市第六人民医院关联人员，系尉氏县无症状感染者曹某某的邻居、密切接触者。
