,Unnamed: 0,字段,标题
200,,09:33,黎巴嫩红十字会：黎巴嫩北部阿卡地区发生油罐车爆炸事故，造成至少20人死亡，另有7名伤者已被送往当地医院。
199,,09:38,【中信证券：下修三季度经济预测，预计两年复合增速下降至5.3%左右】中信证券最新研报指出，这次疫情影响的程度、范围和时间可能会高于二季度的广东疫情，接近但略低于今年1月的疫情，预计仍会对三季度经济形成比较明显的扰动。我们下修了三季度的经济预测，预计两年复合增速可能下降至5.3%左右，比二季度略差，阶段性改变原来经济持续逐月逐季修复的趋势。预计疫情风险完全被控制住后，四季度经济将边际向好，两年复合增速将回升至5.6%左右的水平。
197,,09:49,【荣耀CEO赵明：要夺回属于荣耀的高端手机市场份额】脱离华为8个多月后，荣耀于8月12日发布了首款高端旗舰手机Magic 3系列，搭载高通骁龙888Plus芯片。荣耀CEO赵明接受记者专访时表示，今年荣耀的供应偏紧，估计消费者还是很难抢到荣耀Magic 3。手机行业不存在永远的第一，未来荣耀在中国市场上的竞争对手是苹果，要夺回属于荣耀的高端手机市场份额。（中国证券报）
198,,09:49,【巴西总统称联邦大法官存在违宪行为 将向参议院提出诉讼申请】当地时间8月14日，巴西总统博索纳罗在社交网站发文，表示该国联邦最高法院大法官路易斯·巴罗佐与亚历山大·德·莫赖斯存在超出宪法规定权限的行为，他将就此向巴西联邦参议院提出诉讼申请，对二人展开调查。根据博索纳罗的发文，他计划于下周向参议院主席罗德里格·帕谢科提出申请。（央视）
196,,09:49,【文和友完成B轮融资 IDG领投】湖南文和友小龙虾有限公司完成B轮融资，IDG资本领投，本轮投资方还包括红杉中国、华平投资、碧桂园创投、GIC、易凯基金等，易凯资本为本次交易的独家财务顾问。
195,,09:51,中国地震台网正式测定：08月15日09时44分在新疆喀什地区叶城县（北纬37.81度，东经77.85度）发生3.1级地震，震源深度10千米。
193,,09:56,【医药板块受挫 相关主题基金净值大幅回撤】近期A股市场持续震荡，板块分化进一步凸显，基金表现也出现明显差异。数据显示，8月6日至8月12日，三大股指涨跌不一，上证指数以1.37%领先，深证成指微降0.59%，创业板跌幅达4.96%。从基金表现来看，在上述区间内，剔除新成立的基金，权益类基金算术平均收益率为0.17%，各类份额合并计算，共有181只基金收益率超过5%，更有10只基金收益在10%以上，同时也有151只基金跌幅超过5%。记者注意到，周内医药生物板块在28个申万一级行业中垫底，相关主题基金净值明显回撤。
194,,09:56,【强烈看涨？股市大调整 资金却跑步入场！7月私募基金规模猛增 百亿私募增至84家】中国基金业协会8月12日发布私募基金管理人登记及产品备案月报，数据显示，尽管7月份股市回撤明显，私募基金管理人数量出现环比下降，但资金却在跑步入场，新备案私募基金数量环比增长16.54%，新备案规模更是高达1491.29亿元，环比大增55.10%。（券商中国）
192,,09:59,【8月15日途经河南商丘站部分高铁列车停运】受疫情和水害影响，8月15日途经河南省商丘站的部分高铁列车停运，商丘车站发布公告称若乘客已购买停运车次车票，不用急于前往购票车站办理退票，所有停运列车车票在票面乘车日期起（含当天）30日之内，到全国任意车站窗口办理退票，不收退票费。
191,,10:08,【全员检测阴性 海口龙华区多个场所解除封闭管理】从海南省海口市龙华区新型冠状病毒感染肺炎疫情防控工作指挥部获悉，该区指挥部15日发布通告，根据《新型冠状病毒肺炎防控方案》（第八版）和省市相关专家意见，该区城西镇南宝花园、金广大厦、金城一品A3A4单元、创业新村11栋、农垦二供6栋一单元管控区域内全体人员，经“十四天五检”全员核酸检测结果为阴性。经综合评估，传播风险较低，决定2021年8月15日上午8时起，对城西镇南宝花园、金广大厦、金城一品A3A4单元、创业新村11栋、农垦二供6栋一单元解除封闭管理。
190,,10:09,【Mini LED背光需求旺盛：隆达年底前产能翻倍 晶电明年目标扩产5成】8月13日，LED龙头厂富采投控召开发布会，其旗下晶电、隆达均看好Mini-LED市场前景。目前，Mini LED背光正蓬勃发展，且应用领域也不断扩大，因应需求增长，晶电明年第一季产能将增加2成，全年产能目标得成长5成，才能满足客户需求，隆达则是年底前相关产能将增加一倍。（集微网）
189,,10:16,【邓晓峰、赵军、葛卫东、冯柳、林园等私募大佬们最新持仓来了】随着A股上市公司中报披露进入密集期，越来越多私募大佬的最新持仓浮出水面。今年二季度邓晓峰68个亿加仓紫金矿业，买进西部矿业、天山铝业等上游资源股，增持钢研高纳、旭升股份；冯柳139亿坚守海康威视，新进西部超导，清仓青鸟消防。（中国基金报）
188,,10:34,市场消息：塔利班已控制阿富汗楠格哈尔省省会贾拉拉巴德市。
187,,10:37,【自贡市民建议引入共享单车 市交通运输局：创造条件稳妥推进】针对网友“引入共享单车进入市区”的建议，四川省自贡市交通运输局8月12日回复称，综合自贡市民自行车普及率不高、城区地形地貌不适合骑行、交通基础条件不具备等因素，自贡尚未制定引入共享单车规划，“下一步将努力创造条件，积极稳妥推进共享电单车和共享自行车引进工作。”
185,,10:40,亿邦科技将于8月15日下午召开关于华铁应急“三宗罪”召开第二次新闻发布会，具体时间为8月15日14：00-19：30。
186,,10:40,【南京又一中风险地区调整为低风险地区】8月15日，南京市召开新冠肺炎疫情防控相关情况发布会通报，根据国家和省关于应对新冠肺炎疫情精准防控工作要求，经疫情防控专家组评估，南京市新型冠状病毒肺炎疫情联防联控工作指挥部同意，自2021年8月15日起，南京市部分区域疫情风险等级进行了调整：江宁区横溪街道宁光村蔡坎自然村由中风险地区调整为低风险地区。其他地区风险等级不变。
184,,10:41,【江苏南京中小学9月1日暂缓开学返校】8月15日南京市疫情防控发布会上，南京市教育局副局长戴兴海介绍，南京市中小学含中等职业学校特殊教育学校和幼儿园，9月1日暂缓开学返校。在南京市全域均转为低风险满21天后，分期分批组织学生开学返校，具体的返校批次和时间安排，经市疫情防控指挥部批准后，会提前三天向社会公布。
183,,10:49,【复兴号高寒动车组首次试跑我国最东端高铁】15日7时50分，牡佳高铁联调联试现场首组CR400BF-G型复兴号高寒动车组从牡丹江站缓缓驶出，这是复兴号高寒动车组首次参与牡佳高铁联调联试，也是复兴号动车组首次在我国最东端高寒高铁线路试跑。铁路部门介绍，牡佳高铁联调联试结束后，将转入运行试验阶段，为后续全线开通运营奠定基础。（中国新闻网）
